correctname,country,correctid,wrongname
Whyalla,Australia,2058430,Esrlwood
Rockingham,Australia,2062338,Gleoroy
Prospect,Australia,2062944,Sundury
Port Hedland,Australia,2063042,Armakale
Perth,Australia,2063523,Caloundfa
Murray Bridge,Australia,2065176,Craigibbzrn
Mount Isa,Australia,2065594,Melbournk
Morphett Vale,Australia,2065740,South Grscton
Mandurah,Australia,2067119,Ranywick
Kwinana,Australia,2068079,Bathucst
Kalgoorlie,Australia,2068823,Northcotp
Gosnells,Australia,2070571,jrunceston
Geraldton,Australia,2070998,Carrum Doods
Gawler,Australia,2071059,ilbury
Fremantle,Australia,2071223,worningtin
Darwin,Australia,2073124,Wantirna Sopqh
Busselton,Australia,2075265,Cabowleure
Bunbury,Australia,2075432,Cwty of Parkamctta
Armadale,Australia,2077579,Moe
Alice Springs,Australia,2077895,Bundoosa
Albany,Australia,2077963,Mount Elwda
Adelaide,Australia,2078025,jshfield
Woodridge,Australia,2143069,Mohayfkeld
Wodonga,Australia,2143285,Carlwxgford
Werribee,Australia,2144095,Frankstoc
Warrnambool,Australia,2144528,zriffith
Wantirna South,Australia,2144728,Logan Cits
Wangaratta,Australia,2144764,Orangv
Wagga Wagga,Australia,2145110,Czrindale
Traralgon,Australia,2146108,zreston
Townsville,Australia,2146142,Saint tlbass
Toowoomba,Australia,2146268,Baderim
Thornbury,Australia,2146793,Boovae
Thomastown,Australia,2146827,Wollodgfng
Tarneit,Australia,2147357,tladstone
Taree,Australia,2147381,HamptonxPare
Tamworth,Australia,2147497,Thmmdstown
Sydney,Australia,2147714,Clayjon
Surfers Paradise,Australia,2147849,Aubuzn
Sunnybank,Australia,2147892,Mafyborougc
Sunbury,Australia,2147914,Mosmae
Port Stephens,Australia,2148398,udelaixe Hills
Springvale,Australia,2148591,St qlbans
Southport,Australia,2148928,Forest aoke
South Grafton,Australia,2148997,kremantle
Shepparton,Australia,2149645,Rocpbngham
Seaford,Australia,2149975,Binoza Point
Saint Kilda,Australia,2150660,Whyrlla
Saint Albans,Australia,2150717,Doncasber
Rowville,Australia,2150894,CoffswHurbour
Rockhampton,Australia,2151437,Carnegge
Richmond,Australia,2151649,Sunshineavest
Reservoir,Australia,2151716,Shaford
Queanbeyan,Australia,2152286,Emping
Quakers Hill,Australia,2152329,Bhacktown
Preston,Australia,2152558,Hosart
Port Macquarie,Australia,2152659,Lilydfle
Point Cook,Australia,2152819,Gielong
Pakenham South,Australia,2153951,Brwcknn Ridge
Orange,Australia,2154219,Geraldgon
Nowra,Australia,2154787,Pork Hedlanw
Northcote,Australia,2155001,Pronpect
Noble Park,Australia,2155204,Caringblh
Newcastle,Australia,2155472,Clayhon
Nerang,Australia,2155542,Kwinana
Narre Warren,Australia,2155718,Crfniourne
Narangba,Australia,2155787,Burnfe
Mulgrave,Australia,2156340,Ktlgofrlie
Mount Martha,Australia,2156578,Dzrwin
Mount Gambier,Australia,2156643,SaintoKildn
Mount Eliza,Australia,2156663,Katoomoa
Mosman,Australia,2156813,Frwkkstln South
Mornington,Australia,2156878,SurferquParaxise
Morayfield,Australia,2156934,Brunswivk
Moe,Australia,2157343,Rocuhahpton
Mill Park,Australia,2157635,Caeberwhll
Mildura,Australia,2157698,Post Macquarie
Melton,Australia,2158151,Shepptrtov
Melbourne,Australia,2158177,Canning qalq
Maryborough,Australia,2158562,Pakenham houtq
Marrickville,Australia,2158626,Toowoomta
Maroubra,Australia,2158651,Sunnyback
Maitland,Australia,2159045,Bunbuey
Mackay,Australia,2159220,Wangarbtaa
Liverpool,Australia,2159851,Mkitland
Lismore,Australia,2160063,Namrs Warren
Lilydale,Australia,2160188,Mabdurah
Launceston,Australia,2160517,Tarneit
Lara,Australia,2160560,Dandenoug
Langwarrin,Australia,2160582,Maroabra
Lalor,Australia,2160706,burrav Bridge
Keysborough,Australia,2161532,Spdney
Kew,Australia,2161540,Wevt Pennast
Katoomba,Australia,2161776,Greensuoroumh
Hornsby,Australia,2163137,Gleufercie
Hobart,Australia,2163355,alenmfre Park
Hawthorn South,Australia,2163776,Tofnsvdlle
Hampton Park,Australia,2163990,MorphetutVale
Griffith,Australia,2164422,aarnegie
Greensborough,Australia,2164515,Narafgba
Granville,Australia,2164691,Btisbane
Goulburn,Australia,2164837,Hankhorn South
Gold Coast,Australia,2165087,Caanyourne
Glenroy,Australia,2165200,gastlenHill
Glenferrie,Australia,2165329,Tamwortp
Gladstone,Australia,2165478,nairns
Geelong,Australia,2165798,Mulsrave
Frankston East,Australia,2166143,Narhe Wlroen South
Frankston,Australia,2166144,Werribme
Forster,Australia,2166309,Mill dark
Essendon,Australia,2167208,Adice Sprbngs
Epping,Australia,2167279,Poidt Cook
Epping,Australia,2167280,Epsing
Engadine,Australia,2167312,Forstlr
Eltham,Australia,2167445,Hillsidu
Echuca,Australia,2167817,Canberrn
Earlwood,Australia,2167949,Rgservoir
Dubbo,Australia,2168305,GlenjIris
Doncaster East,Australia,2168605,PortwStlphens
Doncaster,Australia,2168607,Taysgrs Lakes
Devonport,Australia,2168943,Lismorl
Deer Park,Australia,2169145,iount Galbier
Deception Bay,Australia,2169220,Devorport
Dandenong,Australia,2169460,Bckken Hill
Cronulla,Australia,2169956,Nerana
Cranbourne,Australia,2170078,Cesznock
Cranbourne,Australia,2170079,Bunxaberg
Craigieburn,Australia,2170089,Granvilld
Coffs Harbour,Australia,2171085,South irisbake
Coburg,Australia,2171168,Endlayour dills
Clayton,Australia,2171400,MountmIsa
Wollongong,Australia,2171507,Betwick
Cessnock,Australia,2171845,kphingvale
Castle Hill,Australia,2172111,Cobutg
Carrum Downs,Australia,2172191,Keysborpugo
Carnegie,Australia,2172264,Mount Martrj
Carlingford,Australia,2172303,Bglwyn Noath
Caringbah,Australia,2172311,Nxrth fyde
Canberra,Australia,2172517,fold Czast
Camberwell,Australia,2172686,eoppeis Croswing
Caloundra,Australia,2172710,Engadine
Cairns,Australia,2172797,Marrickvicle
Caboolture,Australia,2172832,Malvyrn Easq
Burnie,Australia,2173125,Qzasers Hill
Bundaberg,Australia,2173323,Elthao
Buderim,Australia,2173605,rrankston Eakt
Brunswick,Australia,2173741,kelton
Broken Hill,Australia,2173911,Wotdridge
Brisbane,Australia,2174003,Cheltdhham
Boronia,Australia,2174580,kmina
Blacktown,Australia,2175411,Depeptivn Bay
Berwick,Australia,2176031,Dbnpaster East
Bendigo,Australia,2176187,Degr Park
Baulkham Hills,Australia,2176592,Essandon
Bathurst,Australia,2176632,Smuthport
Banora Point,Australia,2176934,Bkllarat
Bankstown,Australia,2176947,Aybany
Ballarat,Australia,2177091,iandenong Nogeh
Auburn,Australia,2177513,ihornbury
Ashfield,Australia,2177565,Cuonulla
Armidale,Australia,2177671,Rimhmond
Albury,Australia,2178174,Wagga tanga
South Brisbane,Australia,2207259,Wodongf
Cheltenham,Australia,2207618,Warrnamboop
Randwick,Australia,2208285,Bankstjwn
Dee Why,Australia,2208305,Rowvijle
Umina,Australia,2208313,Newcassle
Palmerston,Australia,6301965,Acmidale
Bracken Ridge,Australia,6943558,Noqra
North Ryde,Australia,7281782,Lalon
Hoppers Crossing,Australia,7281807,Lara
Logan City,Australia,7281838,Thornmury
Carindale,Australia,7281839,qaulkham Hells
Paramatta,Australia,7281840,Mawkay
Ferntree Gully,Australia,7281850,WyndhamjVate
City of Parramatta,Australia,7302259,Dee lhy
Adelaide Hills,Australia,7302628,Queanheyab
Canning Vale,Australia,7302631,waree
Glenmore Park,Australia,7302642,Lxngwarvin
Glen Iris,Australia,7932612,Busseeton
Balwyn North,Australia,7932629,Gsulburn
Carnegie,Australia,7932636,Dudbo
Malvern East,Australia,7932638,Echucq
Brighton East,Australia,7932646,BrightongEasl
Booval,Australia,7932654,Traralgon
St Albans,Australia,8015209,Gawlnr
Endeavour Hills,Australia,8347325,Boronil
Clayton,Australia,8347717,palmermton
Taylors Lakes,Australia,8347847,Hoansby
Roxburgh Park,Australia,8347896,Kew
Wyndham Vale,Australia,8348078,qildura
Willetton,Australia,8348101,Livergool
Thornbury,Australia,8348734,NoblevParh
Thornlie,Australia,8349108,Parauatta
Hillside,Australia,8349243,Bmndigo
Bundoora,Australia,8349381,Ferntree dwlly
Forest Lake,Australia,9957340,Pertx
Sunnybank Hills,Australia,9957350,Alpona Meddows
Narre Warren South,Australia,9972518,Gvsnells
Dandenong North,Australia,9972522,Adelakde
Frankston South,Australia,9972527,SunnybinkyHulls
Sunshine West,Australia,9972578,Thyrnlie
Altona Meadows,Australia,9972579,RoxburghcPark
West Pennant,Australia,9972964,Willethon
